Date,Open,High,Low,Close,Volume,AdjustedClose
20240520,4990.000,5050.000,4820.000,4820.000,335150700,4820.000
20240521,4810.000,4870.000,4680.000,4680.000,272599400,4680.000
20240522,4650.000,4770.000,4650.000,4720.000,215066000,4720.000
20240527,4700.000,4720.000,4550.000,4550.000,363719300,4550.000
20240528,4580.000,4630.000,4520.000,4530.000,258070200,4530.000
20240529,4480.000,4500.000,4400.000,4410.000,465008500,4410.000
20240530,4400.000,4480.000,4310.000,4380.000,502927800,4380.000
20240531,4430.000,4470.000,4330.000,4340.000,655144100,4340.000
20240603,4430.000,4560.000,4400.000,4530.000,345770100,4530.000
20240604,4560.000,4590.000,4450.000,4450.000,332902200,4450.000
20240605,4500.000,4500.000,4400.000,4400.000,246362500,4400.000
20240606,4450.000,4500.000,4390.000,4500.000,281534200,4500.000
20240607,4490.000,4500.000,4350.000,4350.000,375439600,4350.000
20240610,4350.000,4430.000,4320.000,4400.000,181387000,4400.000
20240611,4380.000,4440.000,4340.000,4340.000,197854400,4340.000
20240612,4340.000,4360.000,4310.000,4350.000,187332500,4350.000
20240613,4400.000,4420.000,4300.000,4310.000,238349600,4310.000
20240614,4300.000,4320.000,4170.000,4180.000,358893200,4180.000
20240619,4100.000,4240.000,4090.000,4100.000,410338400,4100.000
20240620,4130.000,4270.000,4130.000,4270.000,387133400,4270.000
20240621,4280.000,4490.000,4260.000,4440.000,542704300,4440.000
20240624,4440.000,4510.000,4400.000,4400.000,303830800,4400.000
20240625,4320.000,4400.000,4280.000,4380.000,383572500,4380.000
20240626,4390.000,4430.000,4350.000,4370.000,150303400,4370.000
20240627,4410.000,4500.000,4380.000,4460.000,299430600,4460.000
20240628,4590.000,4640.000,4580.000,4600.000,581319300,4600.000
20240701,4630.000,4670.000,4560.000,4630.000,261421200,4630.000
20240702,4610.000,4630.000,4570.000,4570.000,234403100,4570.000
20240703,4630.000,4640.000,4560.000,4600.000,176310400,4600.000
20240704,4680.000,4830.000,4660.000,4790.000,422261500,4790.000
20240705,4850.000,4870.000,4790.000,4800.000,218278000,4800.000
20240708,4800.000,4830.000,4740.000,4750.000,222042100,4750.000
20240709,4780.000,4930.000,4750.000,4870.000,291320400,4870.000
20240710,4870.000,4920.000,4840.000,4850.000,167619700,4850.000
20240711,4910.000,4920.000,4840.000,4840.000,170470400,4840.000
20240712,4970.000,4980.000,4880.000,4900.000,327141300,4900.000
20240715,4920.000,4930.000,4810.000,4820.000,188713000,4820.000
20240716,4820.000,4840.000,4730.000,4730.000,189271400,4730.000
20240717,4750.000,4810.000,4720.000,4760.000,263325400,4760.000
20240718,4760.000,4890.000,4750.000,4890.000,296614900,4890.000
20240719,4870.000,4910.000,4850.000,4900.000,135104800,4900.000
20240722,4920.000,4940.000,4880.000,4910.000,140128300,4910.000
20240723,4900.000,4910.000,4780.000,4790.000,170919500,4790.000
20240724,4770.000,4800.000,4760.000,4780.000,116037600,4780.000
20240725,4760.000,4760.000,4660.000,4700.000,274397700,4700.000
20240726,4760.000,4810.000,4740.000,4760.000,192267300,4760.000
20240729,4800.000,4800.000,4760.000,4780.000,126109900,4780.000
20240730,4720.000,4740.000,4670.000,4670.000,204374100,4670.000
20240731,4650.000,4710.000,4650.000,4670.000,168490300,4670.000
20240801,4710.000,4750.000,4690.000,4750.000,169636700,4750.000
20240802,4730.000,4750.000,4690.000,4710.000,113328400,4710.000
20240805,4660.000,4670.000,4510.000,4530.000,329430900,4530.000
20240806,4550.000,4650.000,4520.000,4600.000,238051800,4600.000
20240807,4640.000,4640.000,4590.000,4620.000,125984100,4620.000
20240808,4600.000,4690.000,4590.000,4660.000,131343400,4660.000
20240809,4700.000,4730.000,4670.000,4670.000,98730900,4670.000
20240812,4720.000,4720.000,4650.000,4680.000,83552800,4680.000
20240813,4700.000,4750.000,4690.000,4720.000,109533400,4720.000
20240814,4770.000,4840.000,4760.000,4820.000,262716500,4820.000
20240815,4850.000,4870.000,4790.000,4830.000,214394900,4830.000
20240816,4850.000,4870.000,4830.000,4830.000,149701700,4830.000
20240819,4820.000,4820.000,4750.000,4820.000,196203200,4820.000
20240820,4860.000,4950.000,4840.000,4950.000,310085500,4950.000
20240821,4990.000,5100.000,4980.000,5100.000,390307000,5100.000
20240822,5125.000,5150.000,5025.000,5050.000,474043100,5050.000
20240823,5150.000,5200.000,5125.000,5150.000,217759300,5150.000
20240826,5200.000,5325.000,5200.000,5300.000,361169800,5300.000
20240827,5250.000,5275.000,5100.000,5175.000,271088700,5175.000
20240828,5100.000,5175.000,5025.000,5150.000,277561700,5150.000
20240829,5125.000,5175.000,5100.000,5125.000,160041900,5125.000
20240830,5175.000,5175.000,5125.000,5150.000,275298000,5150.000
20240902,5150.000,5225.000,5150.000,5175.000,136717200,5175.000
20240903,5225.000,5250.000,5150.000,5175.000,166033900,5175.000
20240904,5100.000,5175.000,5100.000,5100.000,141890400,5100.000
20240905,5125.000,5150.000,5075.000,5150.000,166436800,5150.000
20240906,5200.000,5250.000,5150.000,5225.000,170520700,5225.000
20240909,5275.000,5300.000,5150.000,5175.000,201448700,5175.000
20240910,5200.000,5250.000,5125.000,5250.000,202326400,5250.000
20240911,5225.000,5250.000,5125.000,5175.000,165284900,5175.000
20240912,5175.000,5225.000,5150.000,5175.000,138542100,5175.000
20240913,5200.000,5300.000,5175.000,5300.000,259722600,5300.000
20240917,5350.000,5350.000,5250.000,5300.000,201331600,5300.000
20240918,5350.000,5375.000,5325.000,5350.000,186877300,5350.000
20240919,5425.000,5500.000,5400.000,5400.000,332941100,5400.000
20240920,5400.000,5450.000,5375.000,5375.000,260437400,5375.000
20240923,5350.000,5500.000,5350.000,5500.000,245292000,5500.000
20240924,5550.000,5575.000,5525.000,5525.000,195415700,5525.000
20240925,5400.000,5425.000,5200.000,5325.000,607065900,5325.000
20240926,5150.000,5200.000,5025.000,5050.000,855266800,5050.000
20240927,5050.000,5150.000,5000.000,5100.000,304694300,5100.000
20240930,5050.000,5050.000,4950.000,4950.000,539169900,4950.000
20241001,4970.000,5075.000,4970.000,5075.000,197069300,5075.000
20241002,5000.000,5075.000,4900.000,4940.000,307487600,4940.000
20241003,4900.000,4960.000,4860.000,4920.000,354814800,4920.000
20241004,4870.000,4920.000,4850.000,4860.000,289960700,4860.000
20241007,4860.000,4930.000,4810.000,4820.000,308452200,4820.000
20241008,4800.000,5050.000,4760.000,5000.000,527474400,5000.000
20241009,5000.000,5075.000,4930.000,4930.000,309336600,4930.000
20241010,4920.000,4970.000,4860.000,4860.000,226564700,4860.000
20241011,4910.000,4940.000,4890.000,4900.000,104875300,4900.000
20241014,4900.000,4930.000,4870.000,4900.000,125414400,4900.000
20241015,4930.000,4990.000,4920.000,4920.000,142372200,4920.000
20241016,4950.000,4970.000,4920.000,4950.000,118014300,4950.000
20241017,4960.000,5050.000,4940.000,4980.000,188127700,4980.000
20241018,5025.000,5050.000,4960.000,4970.000,157113000,4970.000
20241021,4980.000,5025.000,4970.000,4990.000,110708200,4990.000
20241022,4960.000,4970.000,4900.000,4900.000,199707500,4900.000
20241023,4830.000,4890.000,4810.000,4860.000,222147300,4860.000
20241024,4820.000,4900.000,4810.000,4820.000,218162100,4820.000
20241025,4820.000,4860.000,4770.000,4770.000,195647800,4770.000
20241028,4770.000,4800.000,4710.000,4760.000,191211000,4760.000
20241029,4730.000,4780.000,4700.000,4700.000,203658600,4700.000
20241030,4630.000,4750.000,4630.000,4710.000,296314500,4710.000
20241031,4710.000,4870.000,4710.000,4800.000,307110400,4800.000
20241101,4770.000,4820.000,4700.000,4700.000,235656400,4700.000
20241104,4710.000,4770.000,4650.000,4720.000,209831500,4720.000
20241105,4690.000,4740.000,4680.000,4710.000,199499300,4710.000
20241106,4710.000,4730.000,4600.000,4600.000,249059500,4600.000
20241107,4610.000,4640.000,4550.000,4550.000,296218600,4550.000
20241108,4600.000,4640.000,4520.000,4520.000,213862600,4520.000
20241111,4470.000,4540.000,4370.000,4460.000,507192300,4460.000
20241112,4430.000,4520.000,4430.000,4500.000,252380100,4500.000
20241113,4470.000,4610.000,4460.000,4580.000,209627200,4580.000
20241114,4570.000,4590.000,4500.000,4500.000,159871800,4500.000
20241115,4450.000,4510.000,4450.000,4470.000,106365600,4470.000
20241118,4440.000,4460.000,4350.000,4350.000,259191900,4350.000
20241119,4350.000,4410.000,4350.000,4360.000,294851500,4360.000
20241120,4400.000,4440.000,4330.000,4330.000,298734600,4330.000
20241121,4280.000,4320.000,4250.000,4250.000,376788400,4250.000
20241122,4250.000,4420.000,4250.000,4400.000,280188100,4400.000
20241125,4420.000,4530.000,4420.000,4470.000,401446400,4470.000
20241126,4450.000,4470.000,4380.000,4400.000,266677500,4400.000
20241128,4350.000,4390.000,4330.000,4330.000,277081800,4330.000
20241129,4280.000,4300.000,4250.000,4250.000,412519800,4250.000
20241202,4270.000,4280.000,4160.000,4170.000,337188900,4170.000
20241203,4240.000,4250.000,4210.000,4240.000,384146700,4240.000
20241204,4240.000,4370.000,4220.000,4350.000,345762200,4350.000
20241205,4310.000,4340.000,4250.000,4260.000,183135900,4260.000
20241206,4250.000,4310.000,4220.000,4310.000,151433000,4310.000
20241209,4310.000,4390.000,4300.000,4390.000,158897200,4390.000
20241210,4360.000,4380.000,4290.000,4360.000,196160900,4360.000
20241211,4340.000,4430.000,4340.000,4380.000,203980300,4380.000
20241212,4340.000,4360.000,4260.000,4260.000,226698900,4260.000
20241213,4230.000,4280.000,4170.000,4170.000,287838100,4170.000
20241216,4150.000,4280.000,4150.000,4250.000,325441900,4250.000
20241217,4250.000,4290.000,4150.000,4150.000,327919000,4150.000
20241218,4170.000,4210.000,4130.000,4150.000,205055500,4150.000
20241219,4090.000,4110.000,4050.000,4090.000,381986300,4090.000
20241220,4070.000,4120.000,4050.000,4060.000,252689600,4060.000
20241223,4130.000,4210.000,4110.000,4210.000,167689800,4210.000
20241224,4220.000,4250.000,4170.000,4200.000,199536100,4200.000
20241227,4100.000,4120.000,4080.000,4100.000,143104400,4100.000
20241230,4080.000,4120.000,4070.000,4080.000,153934700,4080.000
